Equipment_ID,Equipment_Name,Manufacturer,Hospital_Name,City,Quantity,Unit_Price,Total_Cost,Purchase_Date,Status
EQ0001,X-Ray Machine,MedTech,Manipal Hospital,Hyderabad,12,291900.28,3502803.36,2025-03-23,Operational
EQ0002,CT Scanner,LifeCare,Max Healthcare,Hyderabad,15,263414.51,3951217.65,2024-06-23,Operational
EQ0003,MRI Scanner,LifeCare,AIIMS,Kolkata,20,283551.2,5671024,2025-04-03,Out of Service
EQ0004,Surgical Laser,MedTech,Max Healthcare,Mumbai,6,228978.45,1373870.7,2024-06-11,Out of Service
EQ0005,Infusion Pump,HealthPlus,Manipal Hospital,Pune,13,219492,2853396,2023-08-27,Under Maintenance
EQ0006,CT Scanner,HealthPlus,Manipal Hospital,Delhi,7,166157.64,1163103.48,2023-01-29,Operational
EQ0007,X-Ray Machine,HealthPlus,Medanta,Kolkata,1,366092.07,366092.07,2024-04-19,Out of Service
EQ0008,X-Ray Machine,BioMed,Fortis Hospital,Chennai,5,320502.73,1602513.65,2023-11-29,Out of Service
EQ0009,Infusion Pump,PulseTech,BLK Hospital,Mumbai,7,38444.08,269108.56,2024-01-29,Operational
EQ0010,MRI Scanner,NovaHealth,Fortis Hospital,Delhi,19,166950.3,3172055.7,2024-03-15,Operational
EQ0011,Surgical Laser,MedTech,BLK Hospital,Pune,4,30896.7,123586.8,2025-01-25,Operational
EQ0012,CT Scanner,NovaHealth,Max Healthcare,Bangalore,18,327715.53,5898879.54,2025-03-25,Under Maintenance
EQ0013,ECG Machine,MedTech,Medanta,Bangalore,2,208804.44,417608.88,2023-05-06,Under Maintenance
EQ0014,X-Ray Machine,NovaHealth,Apollo Hospital,Pune,13,281649.62,3661445.06,2023-06-10,Operational
EQ0015,Defibrillator,MedTech,Medanta,Kolkata,9,131134.44,1180209.96,2024-07-08,Operational
EQ0016,Ventilator,BioMed,Manipal Hospital,Kolkata,9,271832.62,2446493.58,2023-05-20,Under Maintenance
EQ0017,Infusion Pump,NovaHealth,Max Healthcare,Kolkata,7,27147.6,190033.2,2024-08-05,Operational
EQ0018,Defibrillator,LifeCare,Medanta,Pune,8,356433.43,2851467.44,2024-08-28,Under Maintenance
EQ0019,CT Scanner,NovaHealth,Fortis Hospital,Hyderabad,11,268045.91,2948505.01,2024-11-10,Under Maintenance
EQ0020,Ventilator,MedTech,AIIMS,Chennai,14,249001.18,3486016.52,2023-02-17,Operational
EQ0021,Defibrillator,LifeCare,Fortis Hospital,Bangalore,19,325800.2,6190203.8,2023-04-06,Out of Service
EQ0022,ECG Machine,NovaHealth,Medanta,Delhi,20,409513.98,8190279.6,2024-09-18,Out of Service
